ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Walscode,ISOcodes
116,Kirundi,Africa,-2.94,29.97,rund1242,,rnd,run
117,Lubukusu,Africa,0.68043,34.7719,buku1249,,buk,bxk
118,Luganda,Africa,0.66884,32.15153,gand1255,,lda,lug
119,Nkore-Kiga,Africa,-1.04,29.91,nkor1241,,nko,cgg;nyn
120,Nzadi,Africa,-4.102208,20.194462,nzad1234,,#N/A,nzd
121,Swahili,Africa,-8.25605,37.624,swah1253,,swa,swh
122,Babungo,Africa,6.11403,10.4137,veng1238,,bab,bav
123,Koromfe,Africa,14.046,-1.96187,koro1298,,kfe,kfz
124,Supyire,Africa,11.632,-5.87709,supy1237,,sup,spp
125,Lezgian,Eurasia,41.5157,47.8951,lezg1247,,lez,lez
126,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,,abk,abk
127,Chilliwack Halkomelem,North America,49.1169072,-122.7078057,chil1281,,#N/A,hur
128,East Geshiza,Eurasia,31.1026,101.72,gesh1238,,#N/A,ero
129,Mandarin,Eurasia,40.0209,116.228,mand1415,,mnd,cmn
130,Lakkia,Eurasia,24.1169,110.106,lakk1238,,lkk,lbc
131,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,,hun,hun
132,Finnish,Eurasia,64.7628,25.5577,finn1318,,fin,fin
133,Classical Nahuatl,North America,19.72,-96.97,clas1250,,#N/A,nci
